filepath,label
data/raw/Binadhan12/binadhan12 (17).jpg,Binadhan12
data/raw/Binadhan10/binadhan10 (393).jpg,Binadhan10
data/raw/BD75/bd75 (14).jpg,BD75
data/raw/BD79/bd79 (28).jpg,BD79
data/raw/Binadhan14/binadhan14 (316).jpg,Binadhan14
data/raw/Binadhan26/binadhan26 (295).jpg,Binadhan26
data/raw/Binadhan7/binadhan07 (437).jpg,Binadhan7
data/raw/BD57/bd57 (303).jpg,BD57
data/raw/BD49/bd49 (5).jpg,BD49
data/raw/BD75/bd75 (130).jpg,BD75
data/raw/BD95/bd95 (130).jpg,BD95
data/raw/BD33/bd33 (297).jpg,BD33
data/raw/BD95/bd95 (242).jpg,BD95
data/raw/Binadhan11/binadhan11 (85).jpg,Binadhan11
data/raw/Binadhan26/binadhan26 (490).jpg,Binadhan26
data/raw/BD57/bd57 (420).jpg,BD57
data/raw/Binadhan17/binadhan17 (256).jpg,Binadhan17
data/raw/BD91/bd91 (438).jpg,BD91
data/raw/Binadhan23/binadhan23 (220).jpg,Binadhan23
data/raw/BD70/bd70 (121).jpg,BD70
data/raw/Binadhan17/binadhan17 (195).jpg,Binadhan17
data/raw/BD70/bd70 (482).jpg,BD70
data/raw/BD51/bd51 (89).jpg,BD51
data/raw/Binadhan17/binadhan17 (367).jpg,Binadhan17
data/raw/BD93/bd93 (261).jpg,BD93
data/raw/Binadhan11/binadhan11 (157).jpg,Binadhan11
data/raw/Binadhan24/binadhan24 (36).jpg,Binadhan24
data/raw/BRRI67/brri67 (214).jpg,BRRI67
data/raw/BR22/br22 (377).jpg,BR22
data/raw/Binadhan14/binadhan14 (76).jpg,Binadhan14
data/raw/BRRI74/brri74 (73).jpg,BRRI74
data/raw/BD56/bd56 (355).jpg,BD56
data/raw/BD79/bd79 (47).jpg,BD79
data/raw/BD70/bd70 (317).jpg,BD70
data/raw/BD87/bd87 (333).jpg,BD87
data/raw/BD39/bd39 (216).jpg,BD39
data/raw/BD95/bd95 (350).jpg,BD95
data/raw/BD49/bd49 (13).jpg,BD49
data/raw/Binadhan11/binadhan11 (64).jpg,Binadhan11
data/raw/BD72/bd72 (141).jpg,BD72
data/raw/BD57/bd57 (148).jpg,BD57
data/raw/BD85/bd85 (323).jpg,BD85
data/raw/BD87/bd87 (53).jpg,BD87
data/raw/BD30/bd30 (209).jpg,BD30
data/raw/BD79/bd79 (113).jpg,BD79
data/raw/Binadhan19/binadhan19 (382).jpg,Binadhan19
data/raw/BD52/bd52 (383).jpg,BD52
data/raw/BD72/bd72 (362).jpg,BD72
data/raw/Binadhan17/binadhan17 (117).jpg,Binadhan17
data/raw/Binadhan10/binadhan10 (252).jpg,Binadhan10
data/raw/BD70/bd70 (158).jpg,BD70
data/raw/BRRI102/brri102 (490).jpg,BRRI102
data/raw/BRRI102/brri102 (130).jpg,BRRI102
data/raw/BD30/bd30 (327).jpg,BD30
data/raw/BRRI102/brri102 (205).jpg,BRRI102
data/raw/BRRI102/brri102 (147).jpg,BRRI102
data/raw/BD93/bd93 (6).jpg,BD93
data/raw/BD72/bd72 (295).jpg,BD72
data/raw/BD95/bd95 (245).jpg,BD95
data/raw/Binadhan11/binadhan11 (46).jpg,Binadhan11
data/raw/BD70/bd70 (52).jpg,BD70
data/raw/BD33/bd33 (203).jpg,BD33
data/raw/BD56/bd56 (226).jpg,BD56
data/raw/BD30/bd30 (245).jpg,BD30
data/raw/Binadhan19/binadhan19 (303).jpg,Binadhan19
data/raw/BD33/bd33 (166).jpg,BD33
data/raw/Binadhan26/binadhan26 (75).jpg,Binadhan26
data/raw/BR22/br22 (57).jpg,BR22
data/raw/BD91/bd91 (263).jpg,BD91
data/raw/BD76/bd76 (182).jpg,BD76
data/raw/Binadhan23/binadhan23 (127).jpg,Binadhan23
data/raw/BD39/bd39 (33).jpg,BD39
data/raw/Binadhan25/binadhan25 (5).jpg,Binadhan25
data/raw/BD87/bd87 (389).jpg,BD87
data/raw/Binadhan24/binadhan24 (473).jpg,Binadhan24
data/raw/Binadhan26/binadhan26 (78).jpg,Binadhan26
data/raw/BD56/bd56 (444).jpg,BD56
data/raw/Binadhan26/binadhan26 (58).jpg,Binadhan26
data/raw/Binadhan11/binadhan11 (56).jpg,Binadhan11
data/raw/BD91/bd91 (441).jpg,BD91
data/raw/BD85/bd85 (491).jpg,BD85
data/raw/Binadhan24/binadhan24 (437).jpg,Binadhan24
data/raw/BR22/br22 (220).jpg,BR22
data/raw/BD51/bd51 (144).jpg,BD51
data/raw/Binadhan25/binadhan25 (275).jpg,Binadhan25
data/raw/Binadhan8/binadhan08 (415).jpg,Binadhan8
data/raw/Binadhan11/binadhan11 (70).jpg,Binadhan11
data/raw/BR22/br22 (327).jpg,BR22
data/raw/BD33/bd33 (202).jpg,BD33
data/raw/Binadhan8/binadhan08 (73).jpg,Binadhan8
data/raw/BD70/bd70 (135).jpg,BD70
data/raw/BD51/bd51 (117).jpg,BD51
data/raw/BD70/bd70 (88).jpg,BD70
data/raw/Binadhan7/binadhan07 (102).jpg,Binadhan7
data/raw/Binadhan25/binadhan25 (392).jpg,Binadhan25
data/raw/BRRI102/brri102 (404).jpg,BRRI102
data/raw/BD85/bd85 (39).jpg,BD85
data/raw/BRRI102/brri102 (74).jpg,BRRI102
data/raw/BD49/bd49 (29).jpg,BD49
data/raw/BD93/bd93 (347).jpg,BD93
data/raw/BD75/bd75 (312).jpg,BD75
data/raw/Binadhan12/binadhan12 (376).jpg,Binadhan12
data/raw/BD95/bd95 (315).jpg,BD95
data/raw/Binadhan26/binadhan26 (269).jpg,Binadhan26
data/raw/Binadhan24/binadhan24 (272).jpg,Binadhan24
data/raw/Binadhan21/binadhan21 (222).jpg,Binadhan21
data/raw/BD75/bd75 (99).jpg,BD75
data/raw/Binadhan20/binadhan20 (149).jpg,Binadhan20
data/raw/BRRI67/brri67 (85).jpg,BRRI67
data/raw/BD56/bd56 (13).jpg,BD56
data/raw/Binadhan26/binadhan26 (393).jpg,Binadhan26
data/raw/Binadhan12/binadhan12 (407).jpg,Binadhan12
data/raw/BR22/br22 (34).jpg,BR22
data/raw/BD52/bd52 (413).jpg,BD52
data/raw/BD56/bd56 (78).jpg,BD56
data/raw/BD51/bd51 (276).jpg,BD51
data/raw/BD70/bd70 (336).jpg,BD70
data/raw/Binadhan16/binadhan16 (286).jpg,Binadhan16
data/raw/Binadhan7/binadhan07 (117).jpg,Binadhan7
data/raw/Binadhan10/binadhan10 (194).jpg,Binadhan10
data/raw/BD95/bd95 (128).jpg,BD95
data/raw/Binadhan23/binadhan23 (249).jpg,Binadhan23
data/raw/BD57/bd57 (433).jpg,BD57
data/raw/Binadhan16/binadhan16 (272).jpg,Binadhan16
data/raw/Binadhan10/binadhan10 (462).jpg,Binadhan10
data/raw/BD56/bd56 (481).jpg,BD56
data/raw/Binadhan10/binadhan10 (5).jpg,Binadhan10
data/raw/Binadhan11/binadhan11 (45).jpg,Binadhan11
data/raw/BR23/br23 (86).jpg,BR23
data/raw/BD85/bd85 (172).jpg,BD85
data/raw/BD51/bd51 (2).jpg,BD51
data/raw/Binadhan21/binadhan21 (361).jpg,Binadhan21
data/raw/Binadhan17/binadhan17 (94).jpg,Binadhan17
data/raw/Binadhan26/binadhan26 (114).jpg,Binadhan26
data/raw/Binadhan19/binadhan19 (309).jpg,Binadhan19
data/raw/BD72/bd72 (289).jpg,BD72
data/raw/BD75/bd75 (452).jpg,BD75
data/raw/Binadhan19/binadhan19 (317).jpg,Binadhan19
data/raw/Binadhan21/binadhan21 (415).jpg,Binadhan21
data/raw/BD85/bd85 (114).jpg,BD85
data/raw/Binadhan19/binadhan19 (299).jpg,Binadhan19
data/raw/BRRI102/brri102 (411).jpg,BRRI102
data/raw/Binadhan17/binadhan17 (287).jpg,Binadhan17
data/raw/Binadhan20/binadhan20 (190).jpg,Binadhan20
data/raw/BD75/bd75 (248).jpg,BD75
data/raw/BD39/bd39 (499).jpg,BD39
data/raw/BD76/bd76 (99).jpg,BD76
data/raw/Binadhan24/binadhan24 (331).jpg,Binadhan24
data/raw/BRRI102/brri102 (275).jpg,BRRI102
data/raw/BD52/bd52 (454).jpg,BD52
data/raw/BD93/bd93 (237).jpg,BD93
data/raw/Binadhan7/binadhan07 (376).jpg,Binadhan7
data/raw/BD57/bd57 (23).jpg,BD57
data/raw/BR23/br23 (36).jpg,BR23
data/raw/Binadhan21/binadhan21 (260).jpg,Binadhan21
data/raw/BD93/bd93 (330).jpg,BD93
data/raw/BD33/bd33 (302).jpg,BD33
data/raw/Binadhan14/binadhan14 (103).jpg,Binadhan14
data/raw/Binadhan25/binadhan25 (340).jpg,Binadhan25
data/raw/Binadhan24/binadhan24 (495).jpg,Binadhan24
data/raw/Binadhan17/binadhan17 (201).jpg,Binadhan17
data/raw/BD57/bd57 (151).jpg,BD57
data/raw/BD52/bd52 (95).jpg,BD52
data/raw/Binadhan20/binadhan20 (187).jpg,Binadhan20
data/raw/BRRI67/brri67 (325).jpg,BRRI67
data/raw/Binadhan19/binadhan19 (477).jpg,Binadhan19
data/raw/Binadhan23/binadhan23 (435).jpg,Binadhan23
data/raw/BRRI102/brri102 (24).jpg,BRRI102
data/raw/BD95/bd95 (274).jpg,BD95
data/raw/BD79/bd79 (62).jpg,BD79
data/raw/BD52/bd52 (181).jpg,BD52
data/raw/BD30/bd30 (83).jpg,BD30
data/raw/Binadhan16/binadhan16 (60).jpg,Binadhan16
data/raw/Binadhan19/binadhan19 (274).jpg,Binadhan19
data/raw/BD49/bd49 (321).jpg,BD49
data/raw/BD30/bd30 (493).jpg,BD30
data/raw/Binadhan21/binadhan21 (14).jpg,Binadhan21
data/raw/BD85/bd85 (175).jpg,BD85
data/raw/Binadhan21/binadhan21 (489).jpg,Binadhan21
data/raw/Binadhan12/binadhan12 (49).jpg,Binadhan12
data/raw/BD56/bd56 (154).jpg,BD56
data/raw/BD91/bd91 (86).jpg,BD91
data/raw/BR23/br23 (277).jpg,BR23
data/raw/Binadhan25/binadhan25 (288).jpg,Binadhan25
data/raw/Binadhan21/binadhan21 (129).jpg,Binadhan21
data/raw/BD70/bd70 (252).jpg,BD70
data/raw/BD76/bd76 (428).jpg,BD76
data/raw/BRRI102/brri102 (335).jpg,BRRI102
data/raw/BD75/bd75 (370).jpg,BD75
data/raw/BD93/bd93 (475).jpg,BD93
data/raw/BD51/bd51 (197).jpg,BD51
data/raw/BD33/bd33 (111).jpg,BD33
data/raw/BD57/bd57 (157).jpg,BD57
data/raw/Binadhan14/binadhan14 (3).jpg,Binadhan14
data/raw/BD76/bd76 (253).jpg,BD76
data/raw/Binadhan12/binadhan12 (143).jpg,Binadhan12
data/raw/Binadhan20/binadhan20 (456).jpg,Binadhan20
data/raw/BD72/bd72 (412).jpg,BD72
data/raw/BD30/bd30 (4).jpg,BD30
data/raw/Binadhan25/binadhan25 (183).jpg,Binadhan25
data/raw/Binadhan26/binadhan26 (361).jpg,Binadhan26
data/raw/Binadhan21/binadhan21 (342).jpg,Binadhan21
data/raw/BD49/bd49 (446).jpg,BD49
data/raw/Binadhan14/binadhan14 (9).jpg,Binadhan14
data/raw/BRRI74/brri74 (88).jpg,BRRI74
data/raw/BD95/bd95 (276).jpg,BD95
data/raw/Binadhan23/binadhan23 (343).jpg,Binadhan23
data/raw/BD93/bd93 (58).jpg,BD93
data/raw/Binadhan16/binadhan16 (110).jpg,Binadhan16
data/raw/BRRI67/brri67 (337).jpg,BRRI67
data/raw/BD91/bd91 (499).jpg,BD91
data/raw/BD93/bd93 (459).jpg,BD93
data/raw/BD85/bd85 (277).jpg,BD85
data/raw/Binadhan8/binadhan08 (326).jpg,Binadhan8
data/raw/BD75/bd75 (46).jpg,BD75
data/raw/BD39/bd39 (232).jpg,BD39
data/raw/BD52/bd52 (321).jpg,BD52
data/raw/BD75/bd75 (180).jpg,BD75
data/raw/Binadhan7/binadhan07 (18).jpg,Binadhan7
data/raw/Binadhan11/binadhan11 (77).jpg,Binadhan11
data/raw/Binadhan26/binadhan26 (88).jpg,Binadhan26
data/raw/BD93/bd93 (436).jpg,BD93
data/raw/BRRI67/brri67 (71).jpg,BRRI67
data/raw/BR23/br23 (404).jpg,BR23
data/raw/BR23/br23 (48).jpg,BR23
data/raw/BD39/bd39 (41).jpg,BD39
data/raw/Binadhan20/binadhan20 (10).jpg,Binadhan20
data/raw/Binadhan26/binadhan26 (339).jpg,Binadhan26
data/raw/Binadhan8/binadhan08 (469).jpg,Binadhan8
data/raw/Binadhan24/binadhan24 (227).jpg,Binadhan24
data/raw/BRRI74/brri74 (301).jpg,BRRI74
data/raw/BD30/bd30 (490).jpg,BD30
data/raw/BRRI102/brri102 (394).jpg,BRRI102
data/raw/Binadhan11/binadhan11 (242).jpg,Binadhan11
data/raw/BD87/bd87 (316).jpg,BD87
data/raw/Binadhan14/binadhan14 (392).jpg,Binadhan14
data/raw/BD33/bd33 (386).jpg,BD33
data/raw/BD57/bd57 (324).jpg,BD57
data/raw/BD72/bd72 (398).jpg,BD72
data/raw/BD93/bd93 (320).jpg,BD93
data/raw/Binadhan26/binadhan26 (380).jpg,Binadhan26
data/raw/Binadhan8/binadhan08 (306).jpg,Binadhan8
data/raw/BR23/br23 (356).jpg,BR23
data/raw/BD39/bd39 (487).jpg,BD39
data/raw/Binadhan11/binadhan11 (135).jpg,Binadhan11
data/raw/BD91/bd91 (348).jpg,BD91
data/raw/Binadhan11/binadhan11 (14).jpg,Binadhan11
data/raw/BD49/bd49 (71).jpg,BD49
data/raw/Binadhan14/binadhan14 (342).jpg,Binadhan14
data/raw/BD33/bd33 (19).jpg,BD33
data/raw/Binadhan20/binadhan20 (337).jpg,Binadhan20
data/raw/Binadhan16/binadhan16 (162).jpg,Binadhan16
data/raw/Binadhan25/binadhan25 (258).jpg,Binadhan25
data/raw/Binadhan20/binadhan20 (189).jpg,Binadhan20
data/raw/Binadhan11/binadhan11 (370).jpg,Binadhan11
data/raw/Binadhan17/binadhan17 (484).jpg,Binadhan17
data/raw/BD75/bd75 (225).jpg,BD75
data/raw/BRRI102/brri102 (337).jpg,BRRI102
data/raw/BD93/bd93 (478).jpg,BD93
data/raw/Binadhan26/binadhan26 (270).jpg,Binadhan26
data/raw/BD95/bd95 (330).jpg,BD95
data/raw/Binadhan10/binadhan10 (126).jpg,Binadhan10
data/raw/BD30/bd30 (160).jpg,BD30
data/raw/BD57/bd57 (466).jpg,BD57
data/raw/BD93/bd93 (213).jpg,BD93
data/raw/BD85/bd85 (386).jpg,BD85
data/raw/BD87/bd87 (191).jpg,BD87
data/raw/BRRI67/brri67 (491).jpg,BRRI67
data/raw/BD57/bd57 (122).jpg,BD57
data/raw/BD30/bd30 (173).jpg,BD30
data/raw/Binadhan7/binadhan07 (226).jpg,Binadhan7
data/raw/Binadhan11/binadhan11 (126).jpg,Binadhan11
data/raw/BD52/bd52 (466).jpg,BD52
data/raw/BD33/bd33 (158).jpg,BD33
data/raw/Binadhan19/binadhan19 (319).jpg,Binadhan19
data/raw/Binadhan16/binadhan16 (225).jpg,Binadhan16
data/raw/BD51/bd51 (202).jpg,BD51
data/raw/BD51/bd51 (227).jpg,BD51
data/raw/Binadhan23/binadhan23 (20).jpg,Binadhan23
data/raw/Binadhan7/binadhan07 (168).jpg,Binadhan7
data/raw/BD57/bd57 (125).jpg,BD57
data/raw/BD70/bd70 (463).jpg,BD70
data/raw/BD76/bd76 (171).jpg,BD76
data/raw/Binadhan19/binadhan19 (160).jpg,Binadhan19
data/raw/BD51/bd51 (317).jpg,BD51
data/raw/BD57/bd57 (275).jpg,BD57
data/raw/Binadhan20/binadhan20 (313).jpg,Binadhan20
data/raw/Binadhan17/binadhan17 (281).jpg,Binadhan17
data/raw/BD93/bd93 (252).jpg,BD93
data/raw/Binadhan10/binadhan10 (101).jpg,Binadhan10
data/raw/BD79/bd79 (388).jpg,BD79
data/raw/BD51/bd51 (225).jpg,BD51
data/raw/BD51/bd51 (492).jpg,BD51
data/raw/Binadhan24/binadhan24 (10).jpg,Binadhan24
data/raw/BD87/bd87 (203).jpg,BD87
data/raw/BD39/bd39 (246).jpg,BD39
data/raw/BD87/bd87 (293).jpg,BD87
data/raw/BD85/bd85 (16).jpg,BD85
data/raw/BD87/bd87 (395).jpg,BD87
data/raw/BD30/bd30 (311).jpg,BD30
data/raw/Binadhan19/binadhan19 (18).jpg,Binadhan19
data/raw/Binadhan24/binadhan24 (292).jpg,Binadhan24
data/raw/Binadhan23/binadhan23 (420).jpg,Binadhan23
data/raw/BD95/bd95 (395).jpg,BD95
data/raw/Binadhan21/binadhan21 (254).jpg,Binadhan21
data/raw/BD95/bd95 (407).jpg,BD95
data/raw/Binadhan19/binadhan19 (451).jpg,Binadhan19
data/raw/BD70/bd70 (205).jpg,BD70
data/raw/Binadhan14/binadhan14 (64).jpg,Binadhan14
data/raw/Binadhan25/binadhan25 (83).jpg,Binadhan25
data/raw/Binadhan23/binadhan23 (393).jpg,Binadhan23
data/raw/BD85/bd85 (115).jpg,BD85
data/raw/BD33/bd33 (469).jpg,BD33
data/raw/BD33/bd33 (371).jpg,BD33
data/raw/BD57/bd57 (9).jpg,BD57
data/raw/BD51/bd51 (134).jpg,BD51
data/raw/BD91/bd91 (316).jpg,BD91
data/raw/Binadhan10/binadhan10 (400).jpg,Binadhan10
data/raw/Binadhan19/binadhan19 (41).jpg,Binadhan19
data/raw/BD51/bd51 (36).jpg,BD51
data/raw/Binadhan16/binadhan16 (329).jpg,Binadhan16
data/raw/BD51/bd51 (388).jpg,BD51
data/raw/BD72/bd72 (425).jpg,BD72
data/raw/Binadhan16/binadhan16 (496).jpg,Binadhan16
data/raw/BD51/bd51 (201).jpg,BD51
data/raw/BD39/bd39 (292).jpg,BD39
data/raw/Binadhan25/binadhan25 (320).jpg,Binadhan25
data/raw/Binadhan7/binadhan07 (83).jpg,Binadhan7
data/raw/BD52/bd52 (270).jpg,BD52
data/raw/BD93/bd93 (36).jpg,BD93
data/raw/BRRI102/brri102 (421).jpg,BRRI102
data/raw/Binadhan26/binadhan26 (111).jpg,Binadhan26
data/raw/BD49/bd49 (141).jpg,BD49
data/raw/BRRI74/brri74 (6).jpg,BRRI74
data/raw/Binadhan26/binadhan26 (256).jpg,Binadhan26
data/raw/BD79/bd79 (278).jpg,BD79
data/raw/Binadhan24/binadhan24 (93).jpg,Binadhan24
data/raw/BD72/bd72 (56).jpg,BD72
data/raw/BD57/bd57 (254).jpg,BD57
data/raw/Binadhan17/binadhan17 (464).jpg,Binadhan17
data/raw/BD52/bd52 (178).jpg,BD52
data/raw/BD70/bd70 (2).jpg,BD70
data/raw/BD76/bd76 (155).jpg,BD76
data/raw/Binadhan11/binadhan11 (313).jpg,Binadhan11
data/raw/Binadhan10/binadhan10 (174).jpg,Binadhan10
data/raw/BD79/bd79 (12).jpg,BD79
data/raw/BRRI102/brri102 (391).jpg,BRRI102
data/raw/BD87/bd87 (445).jpg,BD87
data/raw/Binadhan17/binadhan17 (417).jpg,Binadhan17
